Water Pump ID,Water Source Type,Water Quality,Distance to Nearest Town,Population Served,Installation Year,Funder,Payment Type,Water Pump Age,Pump Type,GPS Coordinates,Functioning Status
WP074,Lake,Clean,36.0,11000.0,2014.0,UNICEF,Pay per use,10.0,Hand Pump,,Functioning
WP075,Well,Clean,28.0,16000.0,2015.0,Red Cross,Pay per use,,Hand Pump,"(-20.983973876005912, 24.699264787683916)",Not Functioning
WP076,Well,Clean,26.0,11000.0,1991.0,Oxfam,Pay per use,33.0,Motorized Pump,"(-21.835965033064877, 23.925140891096746)",Functioning
WP077,River,Contaminated,49.0,10000.0,2002.0,Red Cross,Free,22.0,Motorized Pump,"(-20.775061378321453, 24.881253497716)",Not Functioning
WP078,Lake,Clean,38.0,,1997.0,World Bank,Free,27.0,Motorized Pump,"(-19.047032294625502, 26.61200858817101)",Not Functioning
WP079,Lake,Clean,34.0,12000.0,2012.0,Oxfam,Pay per use,12.0,Hand Pump,,Functioning
WP080,Lake,Clean,14.0,13000.0,2018.0,Red Cross,Pay per use,6.0,Hand Pump,"(-23.170273620120163, 25.23021528393922)",Not Functioning
WP081,Well,Clean,61.0,14000.0,2010.0,Oxfam,Free,14.0,Hand Pump,"(-18.61000450731043, 24.461556705948045)",Functioning
WP082,River,Clean,43.0,19000.0,2020.0,World Bank,Pay per use,4.0,Motorized Pump,"(-23.945032517262074, 21.897312770167126)",Not Functioning
WP083,River,Clean,47.0,15000.0,2011.0,USAID,Pay per use,13.0,Hand Pump,"(-21.089714076291042, 28.205004717246226)",Not Functioning
WP084,Well,Clean,,14000.0,1993.0,Red Cross,Pay per use,31.0,Solar Pump,"(-17.750384916139772, 28.205328688168834)",Functioning
WP085,Lake,Clean,50.0,12000.0,2007.0,USAID,Free,17.0,Hand Pump,"(-22.841572980300864, 22.856175600448992)",Not Functioning
WP086,Lake,Clean,51.0,13000.0,1992.0,Red Cross,Pay per use,32.0,Motorized Pump,"(-21.59765217611562, 24.475832556025164)",Not Functioning
WP087,Lake,Clean,11.0,20000.0,2014.0,Oxfam,Pay per use,10.0,Hand Pump,"(-17.97797983874193, 27.467385783117592)",Not Functioning
WP088,Lake,Contaminated,38.0,15000.0,2002.0,World Bank,Pay per use,22.0,Motorized Pump,"(-18.763356840063583, 26.174184163870173)",Not Functioning
WP089,Well,Clean,11.0,11000.0,2018.0,Red Cross,Pay per use,6.0,Motorized Pump,"(-21.10095366262774, 22.338775836353072)",Functioning
WP090,Well,Clean,11.0,8000.0,2010.0,Oxfam,Pay per use,14.0,Hand Pump,"(-21.866485671209382, 21.348528183904982)",Not Functioning
WP091,River,Clean,51.0,17000.0,1995.0,Oxfam,Pay per use,29.0,Motorized Pump,"(-19.97792291629864, 19.06896502322669)",Functioning
WP092,Lake,Clean,35.0,15000.0,2003.0,UNICEF,Pay per use,21.0,Hand Pump,"(-21.333176666064062, 25.532236648397785)",Not Functioning
WP093,Well,Clean,39.0,11000.0,2019.0,Red Cross,Pay per use,,Motorized Pump,"(-21.42814448166993, 25.23334242382265)",
WP094,Well,Clean,33.0,14000.0,2000.0,World Bank,Free,24.0,Motorized Pump,"(-19.842783534218917, 27.945828262991082)",Functioning
WP095,Lake,Clean,34.0,14000.0,2018.0,Oxfam,Pay per use,6.0,Solar Pump,"(-20.705309434017263, 23.706444235719562)",Not Functioning
WP096,Well,,48.0,16000.0,1997.0,Oxfam,Pay per use,27.0,Solar Pump,"(-17.725746931455276, 27.892931681415362)",Functioning
WP097,Well,Clean,36.0,8000.0,2002.0,Red Cross,Pay per use,22.0,Motorized Pump,"(-17.866130046590992, 28.175854800095486)",Functioning
WP098,Lake,Clean,13.0,12000.0,2007.0,Oxfam,Free,17.0,Solar Pump,"(-21.21547077444375, 26.922709241838596)",Not Functioning
WP099,Well,Clean,17.0,16000.0,2005.0,USAID,Pay per use,19.0,Motorized Pump,"(-19.57636238579553, 25.29174793028116)",Not Functioning
WP100,River,Clean,18.0,11000.0,2018.0,Oxfam,Pay per use,6.0,Solar Pump,,Functioning
WP101,Well,Clean,48.0,10000.0,2009.0,UNICEF,Free,15.0,Motorized Pump,"(-22.515936173348926, 25.61696679874458)",Functioning
WP102,Well,Clean,16.0,10000.0,2007.0,Oxfam,Pay per use,17.0,Motorized Pump,"(-23.538123366801248, 21.621231066106773)",Not Functioning
WP103,Lake,Contaminated,6.0,13000.0,2002.0,World Bank,Pay per use,22.0,Motorized Pump,"(-18.62133351991817, 28.389578782360417)",Not Functioning
WP104,Lake,Clean,46.0,18000.0,2016.0,,Pay per use,8.0,Motorized Pump,"(-23.36063528005893, 28.427758648790622)",Not Functioning
WP105,Well,Clean,45.0,12000.0,2014.0,World Bank,Free,,Hand Pump,"(-19.30756586656349, 21.4759877699389)",Functioning
WP106,,Clean,20.0,12000.0,1991.0,Oxfam,Pay per use,33.0,Hand Pump,,Functioning
WP107,Well,Clean,32.0,15000.0,1990.0,,Free,34.0,Motorized Pump,"(-20.876412458549062, 20.76053822496135)",Functioning
,Well,Clean,65.0,12000.0,2007.0,,Free,17.0,Hand Pump,"(-21.523411224254314, 26.015480971899578)",Not Functioning
WP109,Lake,Clean,,10000.0,2000.0,Red Cross,Pay per use,24.0,Hand Pump,"(-20.554452506538727, 22.352930070744243)",Not Functioning
WP110,Lake,Clean,47.0,13000.0,2011.0,Red Cross,Pay per use,13.0,Hand Pump,"(-19.888817527061477, 28.559849402784092)",Not Functioning
WP111,River,Clean,40.0,14000.0,1994.0,Red Cross,Pay per use,30.0,Hand Pump,"(-18.575139802154307, 28.8686373881476)",Not Functioning
WP112,Well,Contaminated,35.0,13000.0,2007.0,Red Cross,Pay per use,17.0,Hand Pump,"(-21.755939327213923, 21.768043727183535)",Functioning
WP113,Well,Clean,48.0,10000.0,1991.0,USAID,Free,33.0,Motorized Pump,"(-23.24732983789209, 23.598495453645768)",Not Functioning
WP114,Lake,Clean,37.0,10000.0,2005.0,USAID,Pay per use,19.0,Motorized Pump,"(-19.255079357749867, 22.498300206690136)",Not Functioning
WP115,Lake,Clean,17.0,15000.0,2019.0,USAID,Pay per use,5.0,Hand Pump,,
WP116,Borehole,Contaminated,9.0,18000.0,2002.0,,Pay per use,22.0,Hand Pump,"(-20.516675667404783, 20.83813895949626)",Not Functioning
WP117,Well,Clean,17.0,12000.0,2000.0,Oxfam,Pay per use,24.0,Hand Pump,"(-21.147712309407808, 25.20838168562249)",Functioning
WP118,River,Clean,62.0,9000.0,,Oxfam,Pay per use,31.0,Hand Pump,"(-18.067916835192165, 24.383934101102753)",Functioning
WP119,Lake,Clean,25.0,12000.0,1991.0,Oxfam,Pay per use,33.0,Motorized Pump,"(-23.99624990033752, 24.23928091012661)",Not Functioning
WP120,Well,Clean,40.0,13000.0,2001.0,Oxfam,Free,23.0,,,Functioning
WP121,Well,Clean,55.0,14000.0,1991.0,UNICEF,Pay per use,33.0,Hand Pump,"(-19.0296499443184, 28.144149246169306)",Functioning
WP122,Lake,Clean,46.0,11000.0,2019.0,UNICEF,Free,5.0,Motorized Pump,"(-19.167973804527783, 24.2525569304684)",Not Functioning
WP123,Lake,Contaminated,13.0,10000.0,1995.0,World Bank,Pay per use,29.0,Hand Pump,"(-22.223399472690488, 19.81775645151779)",Not Functioning
WP124,River,,8.0,13000.0,2011.0,Red Cross,Pay per use,13.0,Hand Pump,"(-21.99353151071623, 22.389825465391493)",Functioning
WP125,Borehole,Clean,22.0,,2015.0,Red Cross,Pay per use,9.0,Motorized Pump,"(-23.434120994965316, 27.52447897106186)",Not Functioning
WP126,,Clean,33.0,10000.0,1991.0,Oxfam,Pay per use,33.0,Hand Pump,"(-22.157260484304565, 24.7732815433719)",Not Functioning
WP127,Well,Clean,,16000.0,2005.0,Red Cross,Pay per use,19.0,Hand Pump,"(-19.155002347654886, 26.941316768796813)",Not Functioning
WP128,Lake,Clean,18.0,9000.0,1991.0,UNICEF,Free,33.0,Motorized Pump,"(-21.5621851491373, 22.510894707741194)",Not Functioning
WP129,Well,Clean,23.0,10000.0,2004.0,Oxfam,Pay per use,20.0,Motorized Pump,"(-18.63009135472285, 27.85335628098301)",Functioning
WP130,,Clean,43.0,11000.0,,Red Cross,Pay per use,26.0,Hand Pump,"(-20.21652495013242, 22.395777498058095)",Not Functioning
WP131,Lake,Clean,13.0,14000.0,2010.0,Red Cross,Pay per use,14.0,Motorized Pump,"(-19.10534177001968, 26.293351449787377)",Not Functioning
WP132,River,Clean,32.0,9000.0,2020.0,Red Cross,Pay per use,,Hand Pump,"(-22.528157312916083, 23.58690456003376)",Not Functioning
WP133,Lake,,36.0,15000.0,2001.0,Oxfam,Free,23.0,Motorized Pump,"(-19.440804719804053, 28.581695642100115)",Not Functioning
,Well,,32.0,8000.0,2013.0,USAID,Pay per use,11.0,Solar Pump,"(-19.772299035997147, 24.49447994841703)",Functioning
,Lake,Clean,20.0,9000.0,2005.0,Oxfam,Pay per use,19.0,Hand Pump,"(-20.66337768481694, 20.41212665150103)",Not Functioning
WP136,Well,Contaminated,56.0,12000.0,2000.0,UNICEF,Free,24.0,Hand Pump,"(-21.31539647397164, 24.96084767710038)",Functioning
WP137,Lake,Contaminated,25.0,14000.0,2004.0,Red Cross,Pay per use,20.0,Hand Pump,"(-20.580306451174273, 25.21791130497448)",
WP138,Well,Clean,47.0,11000.0,2012.0,Red Cross,Pay per use,12.0,Hand Pump,"(-18.088132051713714, 21.63864776499401)",Functioning
,Well,Clean,47.0,11000.0,2020.0,Oxfam,Pay per use,4.0,Motorized Pump,"(-22.675967923290997, 21.31779533997747)",Functioning
WP140,River,Clean,55.0,17000.0,2006.0,USAID,Pay per use,18.0,Hand Pump,"(-19.058875736420145, 25.904375016136832)",Not Functioning
WP141,Well,Clean,24.0,14000.0,2004.0,UNICEF,Pay per use,20.0,Hand Pump,"(-18.693054619967892, 25.552699230305876)",
WP142,Lake,Clean,55.0,12000.0,,Oxfam,Pay per use,34.0,Motorized Pump,"(-20.54150634257149, 25.210516136666424)",Not Functioning
WP143,Well,Clean,52.0,,,Oxfam,Free,16.0,Motorized Pump,"(-21.774849077883104, 25.851690465154864)",Functioning
WP144,Lake,Clean,12.0,12000.0,1995.0,Oxfam,Pay per use,29.0,Hand Pump,"(-23.78678651105683, 24.388381091658893)",Not Functioning
WP145,River,,24.0,8000.0,2005.0,Red Cross,Pay per use,19.0,Motorized Pump,"(-19.01308400172805, 25.357137433936522)",Not Functioning
WP146,Well,Clean,49.0,13000.0,2016.0,,Free,8.0,Hand Pump,"(-19.1875962013114, 27.501339232930434)",Functioning
WP147,Well,Clean,15.0,13000.0,1994.0,Red Cross,Pay per use,30.0,Motorized Pump,,Functioning
WP148,Lake,Contaminated,39.0,13000.0,1993.0,UNICEF,Pay per use,31.0,Solar Pump,"(-19.093666475673704, 27.86870695587013)",Not Functioning
WP149,Well,Clean,11.0,17000.0,2006.0,Red Cross,Pay per use,18.0,Hand Pump,"(-18.76928952309131, 26.646981535539613)",Functioning
WP150,Well,Clean,27.0,14000.0,2015.0,Red Cross,Pay per use,9.0,Motorized Pump,"(-19.97862354004648, 25.91814268504442)",Functioning
WP151,Lake,,54.0,15000.0,1997.0,Red Cross,Pay per use,27.0,Hand Pump,"(-19.744781849138743, 24.598262085992538)",Functioning
WP152,Well,Clean,17.0,7000.0,2004.0,World Bank,Free,,Hand Pump,"(-18.466147397012207, 24.364132657496032)",Not Functioning
WP153,Well,Clean,10.0,13000.0,2019.0,Oxfam,Pay per use,5.0,Motorized Pump,"(-20.904878523981402, 22.348550390411976)",Functioning
,Lake,Clean,44.0,10000.0,,Oxfam,Pay per use,33.0,Motorized Pump,"(-19.562863107330827, 27.634942462939605)",Not Functioning
WP155,Lake,Clean,17.0,8000.0,1994.0,Red Cross,Pay per use,30.0,Hand Pump,"(-22.376226778613137, 22.296698479722487)",Not Functioning
WP156,Lake,Clean,18.0,12000.0,2003.0,USAID,Free,21.0,Motorized Pump,"(-21.73838422007145, 22.91656702313977)",Not Functioning
WP157,,Clean,62.0,17000.0,1992.0,Red Cross,Pay per use,32.0,Hand Pump,"(-19.300849102235766, 24.866082461514917)",Not Functioning
WP158,Lake,Clean,40.0,13000.0,2007.0,Oxfam,Free,17.0,Solar Pump,"(-19.592524608554687, 25.120439308436907)",Not Functioning
WP159,,Clean,27.0,10000.0,1990.0,Red Cross,Pay per use,34.0,Motorized Pump,"(-22.71323155109855, 25.829588426136155)",Functioning
WP160,Lake,Clean,15.0,12000.0,1994.0,Oxfam,Free,30.0,Hand Pump,"(-19.622988323414468, 26.274867270805537)",Not Functioning
,Well,Clean,34.0,6000.0,1992.0,Red Cross,Pay per use,,Hand Pump,"(-21.15167651656985, 25.298592430730313)",Functioning
WP162,Lake,,18.0,10000.0,1994.0,,Pay per use,,Motorized Pump,"(-19.520396241527145, 25.887476021824995)",Not Functioning
WP163,River,Clean,42.0,16000.0,2003.0,Oxfam,Free,21.0,Motorized Pump,"(-19.70630363475993, 26.590012531785696)",Not Functioning
WP164,Well,Clean,43.0,15000.0,2010.0,USAID,,14.0,Hand Pump,"(-19.06662050617703, 26.045279772438963)",Functioning
WP165,Well,Contaminated,34.0,9000.0,1994.0,Red Cross,Pay per use,30.0,Hand Pump,"(-23.164791957816334, 25.91846715227925)",Not Functioning
WP166,Well,,44.0,11000.0,2016.0,Red Cross,Pay per use,8.0,Solar Pump,"(-22.27486677991245, 24.06300995901153)",Not Functioning
WP167,Lake,Clean,12.0,19000.0,1990.0,Red Cross,Pay per use,34.0,,"(-23.15001081061827, 23.664093962313544)",Functioning
WP168,Well,Clean,,,2020.0,Red Cross,Pay per use,4.0,Hand Pump,"(-21.847168455741212, 19.277012358591318)",Functioning
WP169,Well,Contaminated,37.0,16000.0,2004.0,USAID,Pay per use,20.0,Hand Pump,"(-23.98630771749476, 24.598933278796366)",Not Functioning
WP170,Well,Clean,29.0,15000.0,1998.0,Oxfam,Pay per use,,Solar Pump,"(-23.67374597972941, 19.928177380157916)",Functioning
WP171,Lake,Contaminated,45.0,16000.0,2003.0,USAID,Pay per use,21.0,Solar Pump,"(-22.89487553829005, 28.15558942887785)",Not Functioning
WP172,Well,,33.0,17000.0,2001.0,Red Cross,Pay per use,23.0,Motorized Pump,,Functioning
WP173,River,Clean,54.0,8000.0,2019.0,,Pay per use,5.0,Motorized Pump,"(-23.052628415822802, 24.61143549933742)",Functioning
WP174,Lake,Clean,44.0,17000.0,1994.0,Oxfam,Pay per use,30.0,Motorized Pump,"(-23.4183390736372, 23.84666178170557)",Not Functioning
WP175,Well,Clean,45.0,8000.0,1993.0,UNICEF,Free,31.0,Motorized Pump,"(-21.63346512259807, 25.207751651637828)",Functioning
WP176,River,Clean,16.0,12000.0,2005.0,Red Cross,Pay per use,19.0,Hand Pump,,Functioning
WP177,River,Contaminated,,11000.0,2013.0,Red Cross,Pay per use,11.0,Motorized Pump,"(-22.22278101685248, 22.88257281864999)",Not Functioning
WP178,Well,Clean,3.0,12000.0,,Red Cross,Pay per use,33.0,Hand Pump,,Not Functioning
WP179,Lake,Clean,52.0,11000.0,1990.0,Oxfam,Pay per use,34.0,Hand Pump,"(-22.71251771556629, 22.8087359122953)",Not Functioning
WP180,Well,Clean,32.0,9000.0,2004.0,World Bank,Pay per use,20.0,Motorized Pump,"(-18.74620220214485, 27.240982641243342)",
WP181,Well,Clean,20.0,13000.0,2006.0,Oxfam,Pay per use,18.0,Motorized Pump,"(-21.335373000585644, 20.060472520595265)",Functioning
WP182,Well,Clean,34.0,13000.0,2001.0,Oxfam,Free,23.0,,"(-21.845064013585134, 24.454241979799637)",Functioning
WP183,Lake,,39.0,12000.0,2013.0,Red Cross,Pay per use,11.0,Motorized Pump,,Not Functioning
WP184,Lake,Clean,38.0,13000.0,1997.0,Red Cross,Free,27.0,Motorized Pump,"(-21.51036989793797, 27.6068854134228)",Functioning
WP185,Lake,Clean,30.0,12000.0,2018.0,Red Cross,Pay per use,6.0,Hand Pump,,Not Functioning
WP186,Lake,Clean,14.0,,2013.0,Red Cross,Pay per use,11.0,Solar Pump,"(-21.978385967816497, 20.101990124153176)",Functioning
WP187,Lake,Clean,45.0,9000.0,2005.0,Oxfam,Free,19.0,Motorized Pump,"(-19.460719880826066, 28.662206854527653)",Not Functioning
WP188,River,Clean,36.0,15000.0,1993.0,Oxfam,Free,31.0,Motorized Pump,"(-18.173715136716385, 25.697091668537166)",Not Functioning
WP189,Lake,Contaminated,27.0,18000.0,1994.0,USAID,Pay per use,30.0,Motorized Pump,"(-23.905412968827598, 22.73608805640761)",Not Functioning
WP190,Well,Clean,12.0,18000.0,2007.0,USAID,Free,17.0,Motorized Pump,"(-22.787146022841966, 25.1864912636655)",Functioning
WP191,Well,Clean,42.0,8000.0,2015.0,,Free,9.0,Motorized Pump,"(-22.917696934830936, 20.292691575761566)",Not Functioning
WP192,Well,Clean,21.0,11000.0,2003.0,USAID,Free,21.0,Hand Pump,"(-21.760111389890046, 22.846000407158307)",Functioning
WP193,Lake,Clean,19.0,13000.0,1995.0,World Bank,Pay per use,29.0,Hand Pump,"(-21.892461297509758, 21.36396004393157)",Not Functioning
